feature,modality,family,meaning,unit,formula,computation_note,task_scope,aggregation,required_inputs,normalization,evidence_tier,implementation_status,interpretation,source_document,source_location,source_function
aspect_med,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — median level,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (median level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
aspect_prc_95,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — 95th-pct level,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (95th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
aspect_prc_5_95,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — within-rep range,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (within-rep range: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
aspect_prc_5_iqr,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — P5 inter-rep IQR,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (P5 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
aspect_med_iqr,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — median inter-rep IQR,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (median inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
aspect_prc_95_iqr,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — P95 inter-rep IQR,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (P95 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
aspect_prc_5_95_iqr,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — range inter-rep IQR,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (range inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
jaw_lat_prc_5,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — 5th-pct level,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (5th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
jaw_lat_med,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — median level,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (median level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
jaw_lat_prc_95,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — 95th-pct level,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (95th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
jaw_lat_prc_5_95,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — within-rep range,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (within-rep range: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
jaw_lat_prc_5_iqr,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — P5 inter-rep IQR,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (P5 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
jaw_lat_med_iqr,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — median inter-rep IQR,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (median inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
jaw_lat_prc_95_iqr,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — P95 inter-rep IQR,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (P95 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
jaw_lat_prc_5_95_iqr,kinematic,Jaw lateralization,Jaw lateral deviation (L/R) — range inter-rep IQR,ratio (~1 centred),requested summary of lower-face left/right reference distance ratio,jaw_lat = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","17, 14, 243, 463, 133, 362, 33, 263",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Lateral jaw deviation from midline. Deviation from 1.0 (either direction) flags asymmetric jaw movement / unilateral weakness (range inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_jaw_lateralization_ratio
lip_symm_ratio_prc_5,kinematic,Lip symmetry,Lip motion symmetry (L/R) — 5th-pct level,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (5th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lip_symm_ratio_med,kinematic,Lip symmetry,Lip motion symmetry (L/R) — median level,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (median level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lip_symm_ratio_prc_95,kinematic,Lip symmetry,Lip motion symmetry (L/R) — 95th-pct level,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (95th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lip_symm_ratio_prc_5_95,kinematic,Lip symmetry,Lip motion symmetry (L/R) — within-rep range,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (within-rep range: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lip_symm_ratio_prc_5_iqr,kinematic,Lip symmetry,Lip motion symmetry (L/R) — P5 inter-rep IQR,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (P5 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lip_symm_ratio_med_iqr,kinematic,Lip symmetry,Lip motion symmetry (L/R) — median inter-rep IQR,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (median inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lip_symm_ratio_prc_95_iqr,kinematic,Lip symmetry,Lip motion symmetry (L/R) — P95 inter-rep IQR,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (P95 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lip_symm_ratio_prc_5_95_iqr,kinematic,Lip symmetry,Lip motion symmetry (L/R) — range inter-rep IQR,ratio (~1 symmetric),requested summary of left/right commissure-to-midline distance ratio,lip_symm_ratio = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Left-right lip-movement symmetry. Departure from 1.0 indicates asymmetric oral-commissure excursion (lower-facial weakness) (range inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_lip_symmetry_ratio
lat_xcorr,kinematic,Bilateral coordination,Bilateral commissure coordination,"corr (~[-1,1])","max_lag normalized cross-correlation(left_commissure,right_commissure)",Max normalized cross-correlation of left vs right commissure trajectories (single scalar over the whole signal).,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291, 8",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Coordination/synchrony of the two mouth corners. LOWER = less coordinated bilateral movement (dyscoordination/asymmetric timing).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_bilateral_commissure_xcorr
lip_eccentricity_mean,kinematic,combined_mouth,Mean mouth-ellipse eccentricity,unitless,"mean(sqrt(1-(min(O,W)/max(O,W))^2))",O is mouth opening and W is commissure width,speech or non-speech oral movement,mean within recording-task,"UL, LL, RC, LC: 0,17,61,291",ratio; scale invariant,B,implemented-workbook-validated,0 is circular; approaches 1 as either axis dominates,Kinematic Feature Validation.xlsx,Main: Lip eccentricity,validated_workbook_geometry
lip_eccentricity_range,kinematic,combined_mouth,Range of mouth-ellipse eccentricity,unitless,max(e)-min(e),Range within the recording-task,speech or non-speech oral movement,max-min,"0,17,61,291",ratio; scale invariant,B,implemented-workbook-validated,Change in lip roundedness,Kinematic Feature Validation.xlsx,Main: Lip eccentricity,validated_workbook_geometry
mouth_area_right_mean,kinematic,area_symmetry,Mean right half-mouth triangular area,ICD^2,"mean(0.5*abs(cross(UL-RC,LL-RC)))",2D normalized-coordinate triangle,speech or non-speech oral movement,mean,"RC,UL,LL: 61,0,17",intercanthal-normalized squared units,B,implemented-workbook-validated,Right labial fissure area,Kinematic Feature Validation.xlsx,Main: Area of mouth (right),validated_workbook_geometry
mouth_area_left_mean,kinematic,area_symmetry,Mean left half-mouth triangular area,ICD^2,"mean(0.5*abs(cross(UL-LC,LL-LC)))",2D normalized-coordinate triangle,speech or non-speech oral movement,mean,"LC,UL,LL: 291,0,17",intercanthal-normalized squared units,B,implemented-workbook-validated,Left labial fissure area,Kinematic Feature Validation.xlsx,Main: Area of mouth (left),validated_workbook_geometry
mouth_area_total_mean,kinematic,area_symmetry,Mean total mouth area,ICD^2,mean(right_area+left_area),Sum of non-overlapping half-mouth triangles,speech or non-speech oral movement,mean,"0,17,61,291",intercanthal-normalized squared units,B,implemented-workbook-operational-definition,Total labial fissure area,Kinematic Feature Validation.xlsx,Main: Area of mouth (total),validated_workbook_geometry
mouth_area_abs_asymmetry_mean,kinematic,area_symmetry,Mean absolute left-right mouth area difference,ICD^2,mean(abs(right_area-left_area)),Bandini 2018b Aabsdiff definition,speech or non-speech oral movement,mean,"0,17,61,291",intercanthal-normalized squared units,B,implemented-workbook-validated,Higher values indicate greater area asymmetry,Kinematic Feature Validation.xlsx,Main: Mouth area symmetry,validated_workbook_geometry
lower_lip_lateralization_range,kinematic,area_symmetry,Robust horizontal lower-lip excursion around mouth midpoint,ICD,P95(x_LL-(x_LC+x_RC)/2)-P05(...) ,Signed frame signal summarized as robust range,open/close oral-motor tasks,P95-P05,"LL,LC,RC: 17,291,61",intercanthal-normalized coordinate,B,implemented-workbook-validated,Magnitude of lateral lower-lip excursion,Kinematic Feature Validation.xlsx,Main: Lateralization (when open & closing),validated_workbook_geometry
